NAME_ENGL,ISO3_CODE,total,value,pillar_num,commitment_num,note,group,group_value,year,row_id,x,y,pillar_num_cardinal,pillar_txt,commitment_num_cardinal,commitment_txt_cardinal,fx,fy
Afghanistan,AFG,37,33,1,1,NA,Off track,Off track,2020,1,1,31.918448872864246,1,Connectivity and infrastructure,1,ICT Development Index,1,0
Afghanistan,AFG,37,100,1,2,NA,Off track,Leading,2020,1,2,98.76657022722065,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,0
Afghanistan,AFG,37,NA,1,3,NA,Off track,NA,2020,1,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,1,0
Afghanistan,AFG,37,NA,2,4,NA,Off track,NA,2020,1,1,NA,2,Rights and freedoms,4,Freedom on the Net,1,0
Afghanistan,AFG,37,6,2,5,NA,Off track,Off track,2020,1,2,4.245736203156412,2,Rights and freedoms,5,Freedom in the World,1,0
Afghanistan,AFG,37,32,2,6,NA,Off track,Off track,2020,1,3,30.136454588733613,2,Rights and freedoms,6,Rule of Law Index,1,0
Afghanistan,AFG,37,99,3,7,NA,Off track,Leading,2020,1,1,97.64848667662591,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,0
Afghanistan,AFG,37,1,3,8,NA,Off track,Off track,2020,1,2,-0.21707748901098967,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,0
Afghanistan,AFG,37,NA,3,9,NA,Off track,NA,2020,1,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,1,0
Afghanistan,AFG,37,18,4,10,NA,Off track,Off track,2020,1,1,17.54118402302265,4,Trust and resilience,10,Global Cybersecurity Index,1,0
Afghanistan,AFG,37,33,4,11,NA,Off track,Off track,2020,1,2,33.36253849696368,4,Trust and resilience,11,Internet Resilience Index,1,0
Afghanistan,AFG,37,15,4,12,NA,Off track,Off track,2020,1,3,15.641000979579985,4,Trust and resilience,12,Accountability Index,1,0
Albania,ALB,59,5,1,1,NA,Catching up,Off track,2020,2,3,4.4465045453980565,1,Connectivity and infrastructure,1,ICT Development Index,2,0
Albania,ALB,59,NA,1,2,NA,Catching up,NA,2020,2,3,NA,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,0
Albania,ALB,59,68,1,3,NA,Catching up,On track,2020,2,3,68.61989936325699,1,Connectivity and infrastructure,3,Network Readiness Index,2,0
Albania,ALB,59,100,2,4,NA,Catching up,Leading,2020,2,3,99.82959769759327,2,Rights and freedoms,4,Freedom on the Net,2,0
Albania,ALB,59,61,2,5,NA,Catching up,Catching up,2020,2,3,62.130102125927806,2,Rights and freedoms,5,Freedom in the World,2,0
Albania,ALB,59,NA,2,6,NA,Catching up,NA,2020,2,3,NA,2,Rights and freedoms,6,Rule of Law Index,2,0
Albania,ALB,59,57,3,7,NA,Catching up,Catching up,2020,2,3,57.919463047757745,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,0
Albania,ALB,59,82,3,8,NA,Catching up,Leading,2020,2,3,80.87762548774481,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,0
Albania,ALB,59,42,3,9,NA,Catching up,Off track,2020,2,3,42.00188197568059,3,Responsibility and sustainability,9,Digital Trade Integration Index,2,0
Albania,ALB,59,50,4,10,NA,Catching up,Off track,2020,2,3,51.8258450627327,4,Trust and resilience,10,Global Cybersecurity Index,2,0
Albania,ALB,59,79,4,11,NA,Catching up,On track,2020,2,3,78.32551415450871,4,Trust and resilience,11,Internet Resilience Index,2,0
Albania,ALB,59,98,4,12,NA,Catching up,Leading,2020,2,3,98.3610228728503,4,Trust and resilience,12,Accountability Index,2,0
Algeria,DZA,51,NA,1,1,NA,Catching up,NA,2020,3,3,NA,1,Connectivity and infrastructure,1,ICT Development Index,3,0
Algeria,DZA,51,53,1,2,NA,Catching up,Catching up,2020,3,3,51.99428152106702,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,0
Algeria,DZA,51,86,1,3,NA,Catching up,Leading,2020,3,3,86.57977685704827,1,Connectivity and infrastructure,3,Network Readiness Index,3,0
Algeria,DZA,51,60,2,4,NA,Catching up,Catching up,2020,3,3,61.89791079796851,2,Rights and freedoms,4,Freedom on the Net,3,0
Algeria,DZA,51,55,2,5,NA,Catching up,Catching up,2020,3,3,54.195874996483326,2,Rights and freedoms,5,Freedom in the World,3,0
Algeria,DZA,51,53,2,6,NA,Catching up,Catching up,2020,3,3,54.860451532527804,2,Rights and freedoms,6,Rule of Law Index,3,0
Algeria,DZA,51,33,3,7,NA,Catching up,Off track,2020,3,3,33.23758211825043,3,Responsibility and sustainability,7,Global E-Waste Monitor,3,0
Algeria,DZA,51,NA,3,8,NA,Catching up,NA,2020,3,3,NA,3,Responsibility and sustainability,8,Global Index on Responsible AI,3,0
Algeria,DZA,51,1,3,9,NA,Catching up,Off track,2020,3,3,1.9926714953035116,3,Responsibility and sustainability,9,Digital Trade Integration Index,3,0
Algeria,DZA,51,45,4,10,NA,Catching up,Off track,2020,3,3,46.12043398525566,4,Trust and resilience,10,Global Cybersecurity Index,3,0
Algeria,DZA,51,38,4,11,NA,Catching up,Off track,2020,3,3,37.76123663969338,4,Trust and resilience,11,Internet Resilience Index,3,0
Algeria,DZA,51,NA,4,12,NA,Catching up,NA,2020,3,3,NA,4,Trust and resilience,12,Accountability Index,3,0
Andorra,AND,93,29,1,1,NA,Leading,Off track,2020,4,3,27.432897903956473,1,Connectivity and infrastructure,1,ICT Development Index,4,0
Andorra,AND,93,NA,1,2,NA,Leading,NA,2020,4,3,NA,1,Connectivity and infrastructure,2,Global Internet Shutdowns,4,0
Andorra,AND,93,27,1,3,NA,Leading,Off track,2020,4,3,27.19234620872885,1,Connectivity and infrastructure,3,Network Readiness Index,4,0
Andorra,AND,93,100,2,4,NA,Leading,Leading,2020,4,3,101.17972281202674,2,Rights and freedoms,4,Freedom on the Net,4,0
Andorra,AND,93,NA,2,5,NA,Leading,NA,2020,4,3,NA,2,Rights and freedoms,5,Freedom in the World,4,0
Andorra,AND,93,30,2,6,NA,Leading,Off track,2020,4,3,31.700572015717626,2,Rights and freedoms,6,Rule of Law Index,4,0
Andorra,AND,93,62,3,7,NA,Leading,Catching up,2020,4,3,63.19619459938258,3,Responsibility and sustainability,7,Global E-Waste Monitor,4,0
Andorra,AND,93,67,3,8,NA,Leading,On track,2020,4,3,66.94977495167404,3,Responsibility and sustainability,8,Global Index on Responsible AI,4,0
Andorra,AND,93,NA,3,9,NA,Leading,NA,2020,4,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,4,0
Andorra,AND,93,100,4,10,NA,Leading,Leading,2020,4,3,101.1629897793755,4,Trust and resilience,10,Global Cybersecurity Index,4,0
Andorra,AND,93,46,4,11,NA,Leading,Off track,2020,4,3,45.36178479343653,4,Trust and resilience,11,Internet Resilience Index,4,0
Andorra,AND,93,82,4,12,NA,Leading,Leading,2020,4,3,81.03347351960838,4,Trust and resilience,12,Accountability Index,4,0
Angola,AGO,66,NA,1,1,NA,On track,NA,2020,5,3,NA,1,Connectivity and infrastructure,1,ICT Development Index,0,1
Angola,AGO,66,56,1,2,NA,On track,Catching up,2020,5,3,57.678505645133555,1,Connectivity and infrastructure,2,Global Internet Shutdowns,0,1
Angola,AGO,66,99,1,3,NA,On track,Leading,2020,5,3,99.5761259784922,1,Connectivity and infrastructure,3,Network Readiness Index,0,1
Angola,AGO,66,58,2,4,NA,On track,Catching up,2020,5,3,59.80937583837658,2,Rights and freedoms,4,Freedom on the Net,0,1
