NAME_ENGL,ISO3_CODE,total,value,pillar_num,commitment_num,note,group,group_value,year,row_id,x,y,pillar_num_cardinal,pillar_txt,commitment_num_cardinal,commitment_txt_cardinal,fx,fy
Afghanistan,AFG,37,33,1,1,NA,Off track,Off track,2020,1,1,31.21749302558601,1,Connectivity and infrastructure,1,ICT Development Index,1,0
Afghanistan,AFG,37,100,1,2,NA,Off track,Leading,2020,1,2,99.14132990222424,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,0
Afghanistan,AFG,37,NA,1,3,NA,Off track,NA,2020,1,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,1,0
Afghanistan,AFG,37,NA,2,4,NA,Off track,NA,2020,1,1,NA,2,Rights and freedoms,4,Freedom on the Net,1,0
Afghanistan,AFG,37,6,2,5,NA,Off track,Off track,2020,1,2,5.809214361011982,2,Rights and freedoms,5,Freedom in the World,1,0
Afghanistan,AFG,37,32,2,6,NA,Off track,Off track,2020,1,3,30.71385873388499,2,Rights and freedoms,6,Rule of Law Index,1,0
Afghanistan,AFG,37,99,3,7,NA,Off track,Leading,2020,1,1,98.83012609463185,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,0
Afghanistan,AFG,37,1,3,8,NA,Off track,Off track,2020,1,2,2.195910135284066,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,0
Afghanistan,AFG,37,NA,3,9,NA,Off track,NA,2020,1,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,1,0
Afghanistan,AFG,37,18,4,10,NA,Off track,Off track,2020,1,1,19.01960235927254,4,Trust and resilience,10,Global Cybersecurity Index,1,0
Afghanistan,AFG,37,33,4,11,NA,Off track,Off track,2020,1,2,33.89833063073456,4,Trust and resilience,11,Internet Resilience Index,1,0
Afghanistan,AFG,37,15,4,12,NA,Off track,Off track,2020,1,3,14.350756369531155,4,Trust and resilience,12,Accountability Index,1,0
Albania,ALB,59,5,1,1,NA,Catching up,Off track,2020,2,3,4.4347331980243325,1,Connectivity and infrastructure,1,ICT Development Index,2,0
Albania,ALB,59,NA,1,2,NA,Catching up,NA,2020,2,3,NA,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,0
Albania,ALB,59,68,1,3,NA,Catching up,On track,2020,2,3,68.78553576953709,1,Connectivity and infrastructure,3,Network Readiness Index,2,0
Albania,ALB,59,100,2,4,NA,Catching up,Leading,2020,2,3,98.85291426256299,2,Rights and freedoms,4,Freedom on the Net,2,0
Albania,ALB,59,61,2,5,NA,Catching up,Catching up,2020,2,3,62.79451902676374,2,Rights and freedoms,5,Freedom in the World,2,0
Albania,ALB,59,NA,2,6,NA,Catching up,NA,2020,2,3,NA,2,Rights and freedoms,6,Rule of Law Index,2,0
Albania,ALB,59,57,3,7,NA,Catching up,Catching up,2020,2,3,58.13713070284575,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,0
Albania,ALB,59,82,3,8,NA,Catching up,Leading,2020,2,3,81.61264371592551,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,0
Albania,ALB,59,42,3,9,NA,Catching up,Off track,2020,2,3,43.99703951738775,3,Responsibility and sustainability,9,Digital Trade Integration Index,2,0
Albania,ALB,59,50,4,10,NA,Catching up,Off track,2020,2,3,51.2735284101218,4,Trust and resilience,10,Global Cybersecurity Index,2,0
Albania,ALB,59,79,4,11,NA,Catching up,On track,2020,2,3,80.76275209151208,4,Trust and resilience,11,Internet Resilience Index,2,0
Albania,ALB,59,98,4,12,NA,Catching up,Leading,2020,2,3,97.92752811871469,4,Trust and resilience,12,Accountability Index,2,0
Algeria,DZA,51,NA,1,1,NA,Catching up,NA,2020,3,3,NA,1,Connectivity and infrastructure,1,ICT Development Index,3,0
Algeria,DZA,51,53,1,2,NA,Catching up,Catching up,2020,3,3,54.190618333406746,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,0
Algeria,DZA,51,86,1,3,NA,Catching up,Leading,2020,3,3,86.95078370347619,1,Connectivity and infrastructure,3,Network Readiness Index,3,0
Algeria,DZA,51,60,2,4,NA,Catching up,Catching up,2020,3,3,59.77500024344772,2,Rights and freedoms,4,Freedom on the Net,3,0
Algeria,DZA,51,55,2,5,NA,Catching up,Catching up,2020,3,3,55.387068981304765,2,Rights and freedoms,5,Freedom in the World,3,0
Algeria,DZA,51,53,2,6,NA,Catching up,Catching up,2020,3,3,52.27618495095521,2,Rights and freedoms,6,Rule of Law Index,3,0
