NAME_ENGL,ISO3_CODE,pillar_num,pillar_txt,type,title,publisher,url,version
Algeria,DZA,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/DZ,2
Algeria,DZA,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/DZ,2
Algeria,DZA,2,Rights and freedoms,Analysis,Digital rights,Freedom House,https://freedomhouse.org/country/bangladesh/freedom-net/2024,2
Algeria,DZA,1,Connectivity and infrastructure,Analysis,Mobile connectivity enablers,GSMA,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2
Algeria,DZA,1,Connectivity and infrastructure,Analysis,Mobile internet trends,GSMA,https://www.gsma.com/r/somic/,2
Algeria,DZA,1,Connectivity and infrastructure,Analysis,Global indicators & benchmarks,ITU,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2
Algeria,DZA,3,Responsibility and sustainability,Analysis,Digital economy & governance,World Bank,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,2
Algeria,DZA,4,Trust and resilience,Analysis,Shutdowns,Access Now,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,2
Algeria,DZA,2,Rights and freedoms,Analysis,Network disruptions & censorship,NetBlocks,https://netblocks.org/reports,2
Algeria,DZA,2,Rights and freedoms,Analysis,LONDA: Digital Rights in Africa,Paradigm Initiative,https://paradigmhq.org/londa/,3
Algeria,DZA,2,Rights and freedoms,Analysis,State of Internet Freedom in Africa 2023,CIPESA,https://cipesa.org/download/reports/SIFA23_Report.pdf,3
Andorra,DZA,3,Responsibility and sustainability,Analysis,Trends & governance,Internet Society,https://www.internetsociety.org/globalinternetreport/,2
Angola,AGO,1,Connectivity and infrastructure,Analysis,Resilience & infrastructure,Internet Society,https://pulse.internetsociety.org/en/reports/AO,3
Angola,AGO,4,Trust and resilience,Analysis,Internet resilience,Internet Society,https://pulse.internetsociety.org/en/resilience/AO,3
