NAME_ENGL,ISO3_CODE,total,value,pillar_num,commitment_num,note,group,group_value,year,row_id,x,y,pillar_num_cardinal,pillar_txt,commitment_num_cardinal,commitment_txt_cardinal,fx,fy
Afghanistan,AFG,42,12,1,1,NA,Off track,Off track,2020,1,1,10.130579355172813,1,Connectivity and infrastructure,1,ICT Development Index,1,0
Afghanistan,AFG,42,100,1,2,NA,Off track,Leading,2020,1,2,101.17419663257897,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,0
Afghanistan,AFG,42,NA,1,3,NA,Off track,NA,2020,1,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,1,0
Afghanistan,AFG,42,NA,2,4,NA,Off track,NA,2020,1,1,NA,2,Rights and freedoms,4,Freedom on the Net,1,0
Afghanistan,AFG,42,27,2,5,NA,Off track,Off track,2020,1,2,27.940499839372933,2,Rights and freedoms,5,Freedom in the World,1,0
Afghanistan,AFG,42,36,2,6,NA,Off track,Off track,2020,1,3,36.58718516305089,2,Rights and freedoms,6,Rule of Law Index,1,0
Afghanistan,AFG,42,100,3,7,NA,Off track,Leading,2020,1,1,101.76624496746808,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,0
Afghanistan,AFG,42,1,3,8,NA,Off track,Off track,2020,1,2,0.6458920929580927,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,0
Afghanistan,AFG,42,NA,3,9,NA,Off track,NA,2020,1,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,1,0
Afghanistan,AFG,42,5,4,10,NA,Off track,Off track,2020,1,1,6.903256623074412,4,Trust and resilience,10,Global Cybersecurity Index,1,0
Afghanistan,AFG,42,38,4,11,NA,Off track,Off track,2020,1,2,39.3903005765751,4,Trust and resilience,11,Internet Resilience Index,1,0
Afghanistan,AFG,42,55,4,12,NA,Off track,Catching up,2020,1,3,56.273671351373196,4,Trust and resilience,12,Accountability Index,1,0
Albania,ALB,60,52,1,1,NA,Catching up,Catching up,2020,2,3,53.20024541486055,1,Connectivity and infrastructure,1,ICT Development Index,2,0
Albania,ALB,60,100,1,2,NA,Catching up,Leading,2020,2,3,98.84147515520453,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,0
Albania,ALB,60,NA,1,3,NA,Catching up,NA,2020,2,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,2,0
Albania,ALB,60,NA,2,4,NA,Catching up,NA,2020,2,3,NA,2,Rights and freedoms,4,Freedom on the Net,2,0
Albania,ALB,60,66,2,5,NA,Catching up,On track,2020,2,3,66.75917787104845,2,Rights and freedoms,5,Freedom in the World,2,0
Albania,ALB,60,50,2,6,NA,Catching up,Off track,2020,2,3,49.36840910371393,2,Rights and freedoms,6,Rule of Law Index,2,0
Albania,ALB,60,73,3,7,NA,Catching up,On track,2020,2,3,71.08615929726511,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,0
Albania,ALB,60,4,3,8,NA,Catching up,Off track,2020,2,3,2.3639171458780766,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,0
Albania,ALB,60,NA,3,9,NA,Catching up,NA,2020,2,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,2,0
Albania,ALB,60,64,4,10,NA,Catching up,Catching up,2020,2,3,65.53443892300129,4,Trust and resilience,10,Global Cybersecurity Index,2,0
Albania,ALB,60,61,4,11,NA,Catching up,Catching up,2020,2,3,62.17547507584095,4,Trust and resilience,11,Internet Resilience Index,2,0
Albania,ALB,60,71,4,12,NA,Catching up,On track,2020,2,3,71.52641982585192,4,Trust and resilience,12,Accountability Index,2,0
Algeria,DZA,44,46,1,1,NA,Off track,Off track,2020,3,3,45.48714696150273,1,Connectivity and infrastructure,1,ICT Development Index,3,0
Algeria,DZA,44,59,1,2,NA,Off track,Catching up,2020,3,3,60.245209170505404,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,0
Algeria,DZA,44,NA,1,3,NA,Off track,NA,2020,3,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,3,0
Algeria,DZA,44,NA,2,4,NA,Off track,NA,2020,3,3,NA,2,Rights and freedoms,4,Freedom on the Net,3,0
Algeria,DZA,44,32,2,5,NA,Off track,Off track,2020,3,3,32.89661908522248,2,Rights and freedoms,5,Freedom in the World,3,0
Algeria,DZA,44,49,2,6,NA,Off track,Off track,2020,3,3,48.505487150512636,2,Rights and freedoms,6,Rule of Law Index,3,0
Algeria,DZA,44,74,3,7,NA,Off track,On track,2020,3,3,75.28099676221609,3,Responsibility and sustainability,7,Global E-Waste Monitor,3,0
Algeria,DZA,44,3,3,8,NA,Off track,Off track,2020,3,3,1.9476247550919652,3,Responsibility and sustainability,8,Global Index on Responsible AI,3,0
Algeria,DZA,44,58,3,9,NA,Off track,Catching up,2020,3,3,59.99576532188803,3,Responsibility and sustainability,9,Digital Trade Integration Index,3,0
Algeria,DZA,44,34,4,10,NA,Off track,Off track,2020,3,3,33.58844635169953,4,Trust and resilience,10,Global Cybersecurity Index,3,0
Algeria,DZA,44,39,4,11,NA,Off track,Off track,2020,3,3,40.85645415633917,4,Trust and resilience,11,Internet Resilience Index,3,0
Algeria,DZA,44,46,4,12,NA,Off track,Off track,2020,3,3,44.6978769376874,4,Trust and resilience,12,Accountability Index,3,0
Angola,AGO,49,12,1,1,NA,Off track,Off track,2020,4,3,11.663237282074988,1,Connectivity and infrastructure,1,ICT Development Index,4,0
Angola,AGO,49,100,1,2,NA,Off track,Leading,2020,4,3,101.11405041255057,1,Connectivity and infrastructure,2,Global Internet Shutdowns,4,0
Angola,AGO,49,NA,1,3,NA,Off track,NA,2020,4,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,4,0
Angola,AGO,49,62,2,4,NA,Off track,Catching up,2020,4,3,60.993110567331314,2,Rights and freedoms,4,Freedom on the Net,4,0
Angola,AGO,49,31,2,5,NA,Off track,Off track,2020,4,3,30.069753484800458,2,Rights and freedoms,5,Freedom in the World,4,0
Angola,AGO,49,43,2,6,NA,Off track,Off track,2020,4,3,44.62299433071166,2,Rights and freedoms,6,Rule of Law Index,4,0
Angola,AGO,49,85,3,7,NA,Off track,Leading,2020,4,3,84.21563669387251,3,Responsibility and sustainability,7,Global E-Waste Monitor,4,0
Angola,AGO,49,NA,3,8,NA,Off track,NA,2020,4,3,NA,3,Responsibility and sustainability,8,Global Index on Responsible AI,4,0
Angola,AGO,49,57,3,9,NA,Off track,Catching up,2020,4,3,55.8466256018728,3,Responsibility and sustainability,9,Digital Trade Integration Index,4,0
Angola,AGO,49,13,4,10,NA,Off track,Off track,2020,4,3,11.213390937075019,4,Trust and resilience,10,Global Cybersecurity Index,4,0
Angola,AGO,49,42,4,11,NA,Off track,Off track,2020,4,3,43.919838764704764,4,Trust and resilience,11,Internet Resilience Index,4,0
Angola,AGO,49,50,4,12,NA,Off track,Off track,2020,4,3,49.55459444317967,4,Trust and resilience,12,Accountability Index,4,0
Antigua and Barbuda,ATG,53,59,1,1,NA,Catching up,Catching up,2020,5,3,60.86311877332628,1,Connectivity and infrastructure,1,ICT Development Index,0,1
Antigua and Barbuda,ATG,53,100,1,2,NA,Catching up,Leading,2020,5,3,98.48199920170009,1,Connectivity and infrastructure,2,Global Internet Shutdowns,0,1
Antigua and Barbuda,ATG,53,NA,1,3,NA,Catching up,NA,2020,5,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,0,1
Antigua and Barbuda,ATG,53,NA,2,4,NA,Catching up,NA,2020,5,3,NA,2,Rights and freedoms,4,Freedom on the Net,0,1
Antigua and Barbuda,ATG,53,85,2,5,NA,Catching up,Leading,2020,5,3,84.47186696063727,2,Rights and freedoms,5,Freedom in the World,0,1
Antigua and Barbuda,ATG,53,63,2,6,NA,Catching up,Catching up,2020,5,3,63.41762603446841,2,Rights and freedoms,6,Rule of Law Index,0,1
Antigua and Barbuda,ATG,53,52,3,7,NA,Catching up,Catching up,2020,5,3,51.73439350258559,3,Responsibility and sustainability,7,Global E-Waste Monitor,0,1
Antigua and Barbuda,ATG,53,5,3,8,NA,Catching up,Off track,2020,5,3,6.551092584617436,3,Responsibility and sustainability,8,Global Index on Responsible AI,0,1
Antigua and Barbuda,ATG,53,NA,3,9,NA,Catching up,NA,2020,5,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,0,1
Antigua and Barbuda,ATG,53,16,4,10,NA,Catching up,Off track,2020,5,3,16.9960978012532,4,Trust and resilience,10,Global Cybersecurity Index,0,1
Antigua and Barbuda,ATG,53,48,4,11,NA,Catching up,Off track,2020,5,3,46.94095063302666,4,Trust and resilience,11,Internet Resilience Index,0,1
Antigua and Barbuda,ATG,53,NA,4,12,NA,Catching up,NA,2020,5,3,NA,4,Trust and resilience,12,Accountability Index,0,1
Argentina,ARG,66,73,1,1,NA,On track,On track,2020,6,3,74.22385975997895,1,Connectivity and infrastructure,1,ICT Development Index,1,1
Argentina,ARG,66,100,1,2,NA,On track,Leading,2020,6,3,100.41076732613146,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,1
Argentina,ARG,66,NA,1,3,NA,On track,NA,2020,6,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,1,1
Argentina,ARG,66,71,2,4,NA,On track,On track,2020,6,3,70.77953638602048,2,Rights and freedoms,4,Freedom on the Net,1,1
Argentina,ARG,66,84,2,5,NA,On track,Leading,2020,6,3,85.73393993638456,2,Rights and freedoms,5,Freedom in the World,1,1
Argentina,ARG,66,58,2,6,NA,On track,Catching up,2020,6,3,56.681714723818004,2,Rights and freedoms,6,Rule of Law Index,1,1
Argentina,ARG,66,62,3,7,NA,On track,Catching up,2020,6,3,61.557125037536025,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,1
Argentina,ARG,66,22,3,8,NA,On track,Off track,2020,6,3,21.399314406327903,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,1
Argentina,ARG,66,61,3,9,NA,On track,Catching up,2020,6,3,59.912756140343845,3,Responsibility and sustainability,9,Digital Trade Integration Index,1,1
Argentina,ARG,66,50,4,10,NA,On track,Off track,2020,6,3,48.036874945275486,4,Trust and resilience,10,Global Cybersecurity Index,1,1
Argentina,ARG,66,57,4,11,NA,On track,Catching up,2020,6,3,56.69618031196296,4,Trust and resilience,11,Internet Resilience Index,1,1
Argentina,ARG,66,84,4,12,NA,On track,Leading,2020,6,3,83.07705849781632,4,Trust and resilience,12,Accountability Index,1,1
Armenia,ARM,63,60,1,1,NA,Catching up,Catching up,2020,7,3,60.623296884819865,1,Connectivity and infrastructure,1,ICT Development Index,2,1
Armenia,ARM,63,100,1,2,NA,Catching up,Leading,2020,7,3,101.38587040640414,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,1
Armenia,ARM,63,NA,1,3,NA,Catching up,NA,2020,7,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,2,1
Armenia,ARM,63,75,2,4,NA,Catching up,On track,2020,7,3,76.68616063985974,2,Rights and freedoms,4,Freedom on the Net,2,1
Armenia,ARM,63,55,2,5,NA,Catching up,Catching up,2020,7,3,54.38386857509613,2,Rights and freedoms,5,Freedom in the World,2,1
Armenia,ARM,63,NA,2,6,NA,Catching up,NA,2020,7,3,NA,2,Rights and freedoms,6,Rule of Law Index,2,1
Armenia,ARM,63,79,3,7,NA,Catching up,On track,2020,7,3,77.54458723589778,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,1
Armenia,ARM,63,3,3,8,NA,Catching up,Off track,2020,7,3,4.021345233544707,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,1
Armenia,ARM,63,NA,3,9,NA,Catching up,NA,2020,7,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,2,1
Armenia,ARM,63,50,4,10,NA,Catching up,Off track,2020,7,3,50.6865452574566,4,Trust and resilience,10,Global Cybersecurity Index,2,1
Armenia,ARM,63,64,4,11,NA,Catching up,Catching up,2020,7,3,65.2816963372752,4,Trust and resilience,11,Internet Resilience Index,2,1
Armenia,ARM,63,82,4,12,NA,Catching up,Leading,2020,7,3,82.85671013407409,4,Trust and resilience,12,Accountability Index,2,1
Australia,AUS,79,91,1,1,NA,On track,Leading,2020,8,3,90.20742162875831,1,Connectivity and infrastructure,1,ICT Development Index,3,1
Australia,AUS,79,100,1,2,NA,On track,Leading,2020,8,3,101.65745435934514,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,1
Australia,AUS,79,NA,1,3,NA,On track,NA,2020,8,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,3,1
Australia,AUS,79,76,2,4,NA,On track,On track,2020,8,3,76.87607019394636,2,Rights and freedoms,4,Freedom on the Net,3,1
Australia,AUS,79,97,2,5,NA,On track,Leading,2020,8,3,95.99215554073453,2,Rights and freedoms,5,Freedom in the World,3,1
Australia,AUS,79,80,2,6,NA,On track,Leading,2020,8,3,80.93872797396034,2,Rights and freedoms,6,Rule of Law Index,3,1
Australia,AUS,79,17,3,7,NA,On track,Off track,2020,8,3,17.286442927084863,3,Responsibility and sustainability,7,Global E-Waste Monitor,3,1
Australia,AUS,79,56,3,8,NA,On track,Catching up,2020,8,3,55.2564616734162,3,Responsibility and sustainability,8,Global Index on Responsible AI,3,1
Australia,AUS,79,88,3,9,NA,On track,Leading,2020,8,3,88.05012244265527,3,Responsibility and sustainability,9,Digital Trade Integration Index,3,1
Australia,AUS,79,97,4,10,NA,On track,Leading,2020,8,3,95.58258149307221,4,Trust and resilience,10,Global Cybersecurity Index,3,1
Australia,AUS,79,76,4,11,NA,On track,On track,2020,8,3,74.46506435330957,4,Trust and resilience,11,Internet Resilience Index,3,1
Australia,AUS,79,92,4,12,NA,On track,Leading,2020,8,3,90.42679210100323,4,Trust and resilience,12,Accountability Index,3,1
Austria,AUT,77,88,1,1,NA,On track,Leading,2020,9,3,89.26285565644503,1,Connectivity and infrastructure,1,ICT Development Index,4,1
Austria,AUT,77,100,1,2,NA,On track,Leading,2020,9,3,100.73755224235356,1,Connectivity and infrastructure,2,Global Internet Shutdowns,4,1
Austria,AUT,77,NA,1,3,NA,On track,NA,2020,9,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,4,1
Austria,AUT,77,NA,2,4,NA,On track,NA,2020,9,3,NA,2,Rights and freedoms,4,Freedom on the Net,4,1
Austria,AUT,77,93,2,5,NA,On track,Leading,2020,9,3,93.57027816120535,2,Rights and freedoms,5,Freedom in the World,4,1
Austria,AUT,77,82,2,6,NA,On track,Leading,2020,9,3,82.83704318571836,2,Rights and freedoms,6,Rule of Law Index,4,1
Austria,AUT,77,28,3,7,NA,On track,Off track,2020,9,3,26.25810371339321,3,Responsibility and sustainability,7,Global E-Waste Monitor,4,1
Austria,AUT,77,36,3,8,NA,On track,Off track,2020,9,3,34.317957608029246,3,Responsibility and sustainability,8,Global Index on Responsible AI,4,1
Austria,AUT,77,84,3,9,NA,On track,Leading,2020,9,3,84.5469941785559,3,Responsibility and sustainability,9,Digital Trade Integration Index,4,1
Austria,AUT,77,94,4,10,NA,On track,Leading,2020,9,3,94.6526169795543,4,Trust and resilience,10,Global Cybersecurity Index,4,1
Austria,AUT,77,77,4,11,NA,On track,On track,2020,9,3,75.5300503084436,4,Trust and resilience,11,Internet Resilience Index,4,1
Austria,AUT,77,90,4,12,NA,On track,Leading,2020,9,3,89.1005036411807,4,Trust and resilience,12,Accountability Index,4,1
Azerbaijan,AZE,45,65,1,1,NA,Off track,Catching up,2020,10,3,65.24161532428116,1,Connectivity and infrastructure,1,ICT Development Index,0,2
Azerbaijan,AZE,45,43,1,2,NA,Off track,Off track,2020,10,3,42.75203628372401,1,Connectivity and infrastructure,2,Global Internet Shutdowns,0,2
Azerbaijan,AZE,45,NA,1,3,NA,Off track,NA,2020,10,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,0,2
Azerbaijan,AZE,45,38,2,4,NA,Off track,Off track,2020,10,3,38.14934861008078,2,Rights and freedoms,4,Freedom on the Net,0,2
Azerbaijan,AZE,45,10,2,5,NA,Off track,Off track,2020,10,3,8.039902436546981,2,Rights and freedoms,5,Freedom in the World,0,2
Azerbaijan,AZE,45,NA,2,6,NA,Off track,NA,2020,10,3,NA,2,Rights and freedoms,6,Rule of Law Index,0,2
Azerbaijan,AZE,45,71,3,7,NA,Off track,On track,2020,10,3,70.53346132859588,3,Responsibility and sustainability,7,Global E-Waste Monitor,0,2
Azerbaijan,AZE,45,6,3,8,NA,Off track,Off track,2020,10,3,7.545202240347862,3,Responsibility and sustainability,8,Global Index on Responsible AI,0,2
Azerbaijan,AZE,45,NA,3,9,NA,Off track,NA,2020,10,3,NA,3,Responsibility and sustainability,9,Digital Trade Integration Index,0,2
Azerbaijan,AZE,45,89,4,10,NA,Off track,Leading,2020,10,3,89.906464044936,4,Trust and resilience,10,Global Cybersecurity Index,0,2
Azerbaijan,AZE,45,52,4,11,NA,Off track,Catching up,2020,10,3,50.68088950589299,4,Trust and resilience,11,Internet Resilience Index,0,2
Azerbaijan,AZE,45,28,4,12,NA,Off track,Off track,2020,10,3,29.6750306468457,4,Trust and resilience,12,Accountability Index,0,2
Bahamas,BHS,60,69,1,1,NA,Catching up,On track,2020,11,3,70.1191172664985,1,Connectivity and infrastructure,1,ICT Development Index,1,2
Bahamas,BHS,60,100,1,2,NA,Catching up,Leading,2020,11,3,100.61539635714144,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,2
Bahamas,BHS,60,NA,1,3,NA,Catching up,NA,2020,11,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,1,2
Bahamas,BHS,60,NA,2,4,NA,Catching up,NA,2020,11,3,NA,2,Rights and freedoms,4,Freedom on the Net,1,2
Bahamas,BHS,60,91,2,5,NA,Catching up,Leading,2020,11,3,90.4037039866671,2,Rights and freedoms,5,Freedom in the World,1,2
Bahamas,BHS,60,61,2,6,NA,Catching up,Catching up,2020,11,3,59.74387551750988,2,Rights and freedoms,6,Rule of Law Index,1,2
Bahamas,BHS,60,35,3,7,NA,Catching up,Off track,2020,11,3,33.42075074929744,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,2
Bahamas,BHS,60,NA,3,8,NA,Catching up,NA,2020,11,3,NA,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,2
Bahamas,BHS,60,66,3,9,NA,Catching up,On track,2020,11,3,65.41594194620848,3,Responsibility and sustainability,9,Digital Trade Integration Index,1,2
Bahamas,BHS,60,13,4,10,NA,Catching up,Off track,2020,11,3,12.511233461089432,4,Trust and resilience,10,Global Cybersecurity Index,1,2
Bahamas,BHS,60,48,4,11,NA,Catching up,Off track,2020,11,3,47.69038274139166,4,Trust and resilience,11,Internet Resilience Index,1,2
Bahamas,BHS,60,NA,4,12,NA,Catching up,NA,2020,11,3,NA,4,Trust and resilience,12,Accountability Index,1,2
Bahrain,BHR,52,83,1,1,NA,Catching up,Leading,2020,12,3,82.14614066295326,1,Connectivity and infrastructure,1,ICT Development Index,2,2
Bahrain,BHR,52,100,1,2,NA,Catching up,Leading,2020,12,3,99.92902173195034,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,2
Bahrain,BHR,52,NA,1,3,NA,Catching up,NA,2020,12,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,2,2
Bahrain,BHR,52,29,2,4,NA,Catching up,Off track,2020,12,3,30.800200823694468,2,Rights and freedoms,4,Freedom on the Net,2,2
Bahrain,BHR,52,12,2,5,NA,Catching up,Off track,2020,12,3,10.266457935795188,2,Rights and freedoms,5,Freedom in the World,2,2
Bahrain,BHR,52,NA,2,6,NA,Catching up,NA,2020,12,3,NA,2,Rights and freedoms,6,Rule of Law Index,2,2
Bahrain,BHR,52,40,3,7,NA,Catching up,Off track,2020,12,3,40.749972907826304,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,2
Bahrain,BHR,52,9,3,8,NA,Catching up,Off track,2020,12,3,10.675266961567104,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,2
Bahrain,BHR,52,75,3,9,NA,Catching up,On track,2020,12,3,76.18711539637297,3,Responsibility and sustainability,9,Digital Trade Integration Index,2,2
Bahrain,BHR,52,78,4,10,NA,Catching up,On track,2020,12,3,78.79278737585992,4,Trust and resilience,10,Global Cybersecurity Index,2,2
Bahrain,BHR,52,64,4,11,NA,Catching up,Catching up,2020,12,3,63.21991604194045,4,Trust and resilience,11,Internet Resilience Index,2,2
Bahrain,BHR,52,33,4,12,NA,Catching up,Off track,2020,12,3,33.705230198800564,4,Trust and resilience,12,Accountability Index,2,2
Bangladesh,BGD,57,20,1,1,NA,Catching up,Off track,2020,13,3,21.197002353146672,1,Connectivity and infrastructure,1,ICT Development Index,3,2
Bangladesh,BGD,57,100,1,2,NA,Catching up,Leading,2020,13,3,99.76304495800287,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,2
Bangladesh,BGD,57,NA,1,3,NA,Catching up,NA,2020,13,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,3,2
Bangladesh,BGD,57,42,2,4,NA,Catching up,Off track,2020,13,3,42.698963838629425,2,Rights and freedoms,4,Freedom on the Net,3,2
Bangladesh,BGD,57,39,2,5,NA,Catching up,Off track,2020,13,3,37.69432040583342,2,Rights and freedoms,5,Freedom in the World,3,2
Bangladesh,BGD,57,41,2,6,NA,Catching up,Off track,2020,13,3,40.01284590549767,2,Rights and freedoms,6,Rule of Law Index,3,2
